,sentences1,sentences2,is_similar
231,Three Asian kids are dancing and a man is looking,Three Asian kids are dancing and there is no man looking,1
232,Three Asian kids are dancing and a man is looking,An Asian man is dancing and three kids are looking,1
233,The children of a family are playing and waiting,Three Asian kids are dancing and a serious man is looking,0
234,The children of a family are playing and waiting,Three Asian kids are dancing and there is no man looking,1
235,The children of a family are playing and waiting,An Asian man is dancing and three kids are looking,0
236,The children of a family are patiently playing and waiting,Three Asian kids are dancing and a man is looking,0
237,There are no children playing and waiting,Three Asian kids are dancing and a man is looking,0
238,Three Asian kids are dancing and a man is looking,The children of a family are playing and waiting,0
239,A woman is wearing an Egyptian hat on her head,A woman is wearing an Egyptian headdress,1
240,A woman is wearing an Egyptian headdress,A woman is wearing an Indian headdress,1
241,A woman is wearing an Egyptian headdress,An Egyptian is wearing a woman's headdress,1
242,The woman is wearing glasses and a black headdress,The woman with a black hat is wearing sunglasses,1
243,The woman is not wearing glasses or a headdress,The woman is wearing glasses and a black headdress,1
244,The black woman is wearing glasses over the headdress,The woman is wearing glasses and a black headdress,1
245,A woman is wearing an Egyptian headdress,The woman with a black hat is wearing sunglasses,0
246,The woman is not wearing glasses or a headdress,A woman is wearing an Egyptian headdress,1
247,The black woman is wearing glasses over the headdress,A woman is wearing an Egyptian headdress,1
248,A woman is wearing an Egyptian hat on her head,The woman is wearing glasses and a black headdress,1
249,A woman is wearing an Indian headdress,The woman is wearing glasses and a black headdress,1
250,The woman is wearing glasses and a black headdress,An Egyptian is wearing a woman's headdress,1
251,The woman is wearing glasses and a black headdress,A woman is wearing an Egyptian headdress,1
252,A hiker is on top of the mountain and is doing a joyful dance,A hiker is on top of the mountain and is dancing,1
253,A hiker is on top of the mountain and is dancing,There is no hiker dancing on top of the mountain,1
254,A man is on a rock high above some trees and is standing in an uncomfortable position,A man is on a rock high above some trees and is standing in a strange position,1
255,There is no man on a rock high above some trees standing in a strange position,A man is on a rock high above some trees and is standing in a strange position,1
256,A hiker is on top of the mountain and is dancing,A man is on a rock high above some trees and is standing in an uncomfortable position,1
257,A hiker is on top of the mountain and is dancing,There is no man on a rock high above some trees standing in a strange position,1
258,A man is on a rock high above some trees and is standing in a strange position,A hiker is on top of the mountain and is doing a joyful dance,1
259,There is no hiker dancing on top of the mountain,A man is on a rock high above some trees and is standing in a strange position,0
260,A man is on a rock high above some trees and is standing in a strange position,A hiker is on top of the mountain and is dancing,1
261,A cowgirl is riding a brown horse and is cornering a barrel,A cowgirl is riding a horse and corners a barrel,1
262,A cowboy is riding a horse and cornering a barrel,A cowgirl is riding a horse and corners a barrel,1
263,A cowgirl is riding a barrel near a horse in the corner,A cowgirl is riding a horse and corners a barrel,1
264,The brown horse is very near a red barrel at the rodeo,The brown horse is near a red barrel at the rodeo,1
265,The brown horse is near a red barrel at the rodeo,The brown horse is far from a red barrel at the rodeo,1
266,The brown horse is very near a red barrel at the rodeo,A cowgirl is riding a horse and corners a barrel,1
267,The brown horse is far from a red barrel at the rodeo,A cowgirl is riding a horse and corners a barrel,1
268,A cowgirl is riding a brown horse and is cornering a barrel,The brown horse is near a red barrel at the rodeo,1
269,A cowboy is riding a horse and cornering a barrel,The brown horse is near a red barrel at the rodeo,1
270,The brown horse is near a red barrel at the rodeo,A cowgirl is riding a barrel near a horse in the corner,1
271,A cowgirl is riding a horse and corners a barrel,The brown horse is near a red barrel at the rodeo,1
272,A boy is standing in the cold water,A boy is standing in the water,1
273,A boy is standing outside the water,A boy is standing in the water,1
274,The kid is swimming through the blue ocean,The boy is wading through the blue ocean,1
275,The boy is sitting near the blue ocean,The boy is wading through the blue ocean,1
276,A boy is standing in the water,The kid is swimming through the blue ocean,1
277,A boy is standing in the water,The boy is sitting near the blue ocean,1
278,The boy is wading through the blue ocean,A boy is standing in the cold water,1
279,A boy is standing outside the water,The boy is wading through the blue ocean,1
280,A boy is standing in the water,The boy is wading through the blue ocean,1
281,A skilled man is playing a guitar on stage,A man is playing a guitar on stage,1
282,A man is playing a guitar on stage,There is no man playing a guitar on stage,1
283,A person has blonde and flyaway hair and is playing a guitar,A guitarist has blonde and flyaway hair,1
284,A bald person is playing a guitar,A person has blonde and flyaway hair and is playing a guitar,1
285,A man is playing a guitar on stage,A guitarist has blonde and flyaway hair,1
286,A man is playing a guitar on stage,A bald person is playing a guitar,1
287,A skilled man is playing a guitar on stage,A person has blonde and flyaway hair and is playing a guitar,1
288,There is no man playing a guitar on stage,A person has blonde and flyaway hair and is playing a guitar,1
289,A man is playing a guitar on stage,A person has blonde and flyaway hair and is playing a guitar,1
290,Several children are sitting down and have their knees raised,Several children are lying down and are raising their knees,1
291,Several children are sitting down and have their knees raised,Several children are standing up,1
292,Two young girls are sitting on the ground,Two girls are sitting on the ground,1
293,Two girls are lying on the ground,Two girls are sitting on the ground,1
294,Two young girls are sitting on the ground,Several children are sitting down and have their knees raised,1
295,Two girls are lying on the ground,Several children are sitting down and have their knees raised,1
296,Several children are lying down and are raising their knees,Two girls are sitting on the ground,0
297,Several children are standing up,Two girls are sitting on the ground,0
298,Several children are sitting down and have their knees raised,Two girls are sitting on the ground,1
299,A nude lady is walking in front of many people in body paint,A nude lady is walking in front of a crowd in body paint,1
300,A nude lady is walking in front of a crowd in body paint,There is no lady walking in body paint in front of a crowd ,1
301,A nude lady is walking in front of a crowd in body paint,A nude crowd in body paint is walking in front of a lady ,1
302,"A young, topless woman is covered in paint",A topless girl is covered in paint,1
303,"An old, topless woman is covered in paint","A young, topless woman is covered in paint",1
304,A nude lady is walking in front of a crowd in body paint,A topless girl is covered in paint,1
305,"An old, topless woman is covered in paint",A nude lady is walking in front of a crowd in body paint,1
306,"A young, topless woman is covered in paint",A nude lady is walking in front of many people in body paint,1
307,There is no lady walking in body paint in front of a crowd ,"A young, topless woman is covered in paint",1
308,A nude crowd in body paint is walking in front of a lady ,"A young, topless woman is covered in paint",1
309,A nude lady is walking in front of a crowd in body paint,"A young, topless woman is covered in paint",1
310,A group of people is near the ocean,A crowd of people is near the water,1
311,A crowd of people is near the water,A crowd of people is far from the water,1
312,A group of children in uniforms is standing at a gate and one is kissing the mother,A group of children wearing the same clothes is waiting at a gate and one is kissing the mother,1
313,A group of children in uniforms is standing at a gate and there is no one kissing the mother,A group of children in uniforms is standing at a gate and one is kissing the mother,1
314,A group of mothers in uniforms is standing near the children and one is kissing the gate,A group of children in uniforms is standing at a gate and one is kissing the mother,1
315,A crowd of people is near the water,A group of children wearing the same clothes is waiting at a gate and one is kissing the mother,0
316,A group of children in uniforms is standing at a gate and there is no one kissing the mother,A crowd of people is near the water,0
317,A group of mothers in uniforms is standing near the children and one is kissing the gate,A crowd of people is near the water,0
318,A group of people is near the ocean,A group of children in uniforms is standing at a gate and one is kissing the mother,0
319,A crowd of people is far from the water,A group of children in uniforms is standing at a gate and one is kissing the mother,0
320,A crowd of people is near the water,A group of children in uniforms is standing at a gate and one is kissing the mother,0
321,A man is in a parking lot and is playing tennis against a large wall,A lone man is in a parking lot and is playing tennis against a large wall,1
322,A man is in a parking lot and is playing tennis against a large wall,A man is in a parking lot and is playing tennis against a friend,1
323,A man is pointing at a silver sedan,A man is pointing at a car,1
324,A man is pointing at a silver sedan,There is no man pointing at a car,1
325,A man is pointing at a car,A man is in a parking lot and is playing tennis against a large wall,0
326,A man is in a parking lot and is playing tennis against a large wall,There is no man pointing at a car,0
327,A man is pointing at a silver sedan,A lone man is in a parking lot and is playing tennis against a large wall,0
328,A man is in a parking lot and is playing tennis against a friend,A man is pointing at a silver sedan,0
329,A man is pointing at a silver sedan,A man is in a parking lot and is playing tennis against a large wall,0
330,A group of people is on a beach,A group of people is near the sea,1
331,A group of people is on a beach,A group of people is on a mountain,1
332,"A man, a woman and two girls are walking on the beach",Four people are walking on the beach,1
333,"A man, a woman and two girls are walking on the beach","A man, a woman and two girls are sitting on the beach",1
334,A group of people is on a beach,Four people are walking on the beach,1
335,"A man, a woman and two girls are sitting on the beach",A group of people is on a beach,1
336,"A man, a woman and two girls are walking on the beach",A group of people is near the sea,1
337,"A man, a woman and two girls are walking on the beach",A group of people is on a mountain,0
338,"A man, a woman and two girls are walking on the beach",A group of people is on a beach,1
339,A schoolgirl with a black bag is on a crowded train,A girl with a black bag is on a crowded train,1
340,There is no girl with a black bag on a crowded train,A girl with a black bag is on a crowded train,1
341,A girl with a black bag is on a crowded train,A cramped black train is on the bag of a girl,1
342,An Asian woman in a crowd is carrying a black bag,An Asian woman in in the midst of many people is carrying a black bag,1
343,An Asian woman in a crowd is not carrying a black bag,An Asian woman in a crowd is carrying a black bag,1
344,An Asian woman in in the midst of many people is carrying a black bag,A girl with a black bag is on a crowded train,1
345,A girl with a black bag is on a crowded train,An Asian woman in a crowd is not carrying a black bag,1
346,A schoolgirl with a black bag is on a crowded train,An Asian woman in a crowd is carrying a black bag,1
347,There is no girl with a black bag on a crowded train,An Asian woman in a crowd is carrying a black bag,1
348,An Asian woman in a crowd is carrying a black bag,A cramped black train is on the bag of a girl,0
349,A girl with a black bag is on a crowded train,An Asian woman in a crowd is carrying a black bag,1
350,A dog is chasing another and is holding a stick in its mouth,A dog is chasing another and is holding a piece of wood in its mouth,1
351,There is no dog chasing another or holding a stick in its mouth,A dog is chasing another and is holding a stick in its mouth,1
352,A dog is chasing another and is holding a stick in its mouth,A dog is chasing a stick and holding another dog in its mouth,1
353,Two dogs are running and carrying a toy in their mouths,Two dogs are running and carrying an object in their mouths,1
354,There is no dog running and carrying an object in its mouth,Two dogs are running and carrying an object in their mouths,1
355,Two dogs are running and carrying a toy in their mouths,A dog is chasing another and is holding a stick in its mouth,1
356,There is no dog running and carrying an object in its mouth,A dog is chasing another and is holding a stick in its mouth,1
357,A dog is chasing another and is holding a piece of wood in its mouth,Two dogs are running and carrying an object in their mouths,1
358,There is no dog chasing another or holding a stick in its mouth,Two dogs are running and carrying an object in their mouths,1
359,Two dogs are running and carrying an object in their mouths,A dog is chasing a stick and holding another dog in its mouth,1
